baixinz2::NEWTABLE,Rating,DOUBLE,974,26,6.1,9.2,8.49615
8.9,Fri May  4 14:19:44 2018
8.8,Fri May  4 14:19:44 2018
7.6,Fri May  4 14:19:44 2018
8.5,Fri May  4 14:19:44 2018
8.7,Fri May  4 14:19:44 2018
8.7,Fri May  4 14:19:44 2018
8.7,Fri May  4 14:19:44 2018
8.3,Fri May  4 14:19:44 2018
7.2,Fri May  4 14:19:44 2018
8.7,Fri May  4 14:19:44 2018
6.1,Fri May  4 14:19:44 2018
8.9,Fri May  4 14:19:44 2018
8.9,Fri May  4 14:19:44 2018
8.6,Fri May  4 14:19:44 2018
7.5,Fri May  4 14:19:44 2018
7.6,Fri May  4 14:19:44 2018
8.7,Fri May  4 14:19:44 2018
9,Fri May  4 14:19:44 2018
9.2,Fri May  4 14:19:44 2018
9,Fri May  4 14:19:44 2018
8.8,Fri May  4 14:19:44 2018
8.8,Fri May  4 14:19:44 2018
8.9,Fri May  4 14:19:44 2018
8.9,Fri May  4 14:19:44 2018
8.7,Fri May  4 14:19:44 2018
9.2,Fri May  4 14:19:44 2018
