baixinz2::Movie,Rating,DOUBLE,974,26,6.1,9.2,8.49615
8.3,Wed Mar 28 14:13:57 2018
7.2,Wed Mar 28 14:13:57 2018
8.5,Wed Mar 28 14:13:57 2018
7.6,Wed Mar 28 14:13:57 2018
7.6,Wed Mar 28 14:13:57 2018
6.1,Wed Mar 28 14:13:57 2018
7.5,Wed Mar 28 14:13:57 2018
8.9,Wed Mar 28 14:13:57 2018
8.9,Wed Mar 28 14:13:57 2018
8.8,Wed Mar 28 14:13:57 2018
8.8,Wed Mar 28 14:13:57 2018
8.8,Wed Mar 28 14:13:57 2018
8.7,Wed Mar 28 14:13:57 2018
8.7,Wed Mar 28 14:13:57 2018
8.7,Wed Mar 28 14:13:57 2018
8.9,Wed Mar 28 14:13:57 2018
8.7,Wed Mar 28 14:13:57 2018
8.7,Wed Mar 28 14:13:57 2018
8.7,Wed Mar 28 14:13:57 2018
8.6,Wed Mar 28 14:13:57 2018
9.2,Wed Mar 28 14:13:57 2018
9.2,Wed Mar 28 14:13:57 2018
9,Wed Mar 28 14:13:57 2018
9,Wed Mar 28 14:13:57 2018
8.9,Wed Mar 28 14:13:57 2018
8.9,Wed Mar 28 14:13:57 2018
